データ日付,終値,始値,高値,安値
2022/9/7,27430.3,27546.01,27546.01,27268.7
2022/9/8,28065.28,27732.68,28083.79,27718.3
2022/9/9,28214.75,28204.71,28286.02,28091.38
2022/9/12,28542.11,28483.59,28612.89,28438.37
2022/9/13,28614.63,28556.21,28659.76,28530.36
2022/9/14,27818.62,28132.7,28141.92,27795.64
2022/9/15,27875.91,27873.96,27946.2,27801.44
2022/9/16,27567.65,27631.39,27654.99,27525.68
2022/9/20,27688.42,27788.68,27907.45,27627.86
2022/9/21,27313.13,27440.84,27467.34,27297.5
2022/9/22,27153.83,27053.58,27197.07,26955.18
2022/9/26,26431.55,26779.44,26779.44,26424.6
2022/9/27,26571.87,26585.38,26680.2,26523.77
2022/9/28,26173.98,26422.86,26516.32,25938.36
2022/9/29,26422.05,26280.5,26458.67,26221.78
2022/9/30,25937.21,26240,26273.65,25805.59
2022/10/3,26215.79,25778.95,26223.84,25621.96
2022/10/4,26992.21,26653.49,26994.44,26633.52
2022/10/5,27120.53,27211.32,27216.8,27030.55
2022/10/6,27311.3,27137.98,27399.19,27137.98
2022/10/7,27116.11,26975.92,27198.91,26921.9
2022/10/11,26401.25,26757.12,26759.62,26369.56
2022/10/12,26396.83,26353.22,26495.75,26313.41
2022/10/13,26237.42,26398.29,26408.31,26237.42
2022/10/14,27090.76,26599.32,27180.16,26595.35
2022/10/17,26775.79,26785.02,26814.92,26649.13
2022/10/18,27156.14,27167.73,27229.88,26910.1
2022/10/19,27257.38,27225.17,27371.38,27192.79
2022/10/20,27006.96,26981.75,27092.55,26872.45
2022/10/21,26890.58,26903.5,26985.38,26869.38
2022/10/24,26974.9,27233,27308.97,26974.9
2022/10/25,27250.28,27113.2,27337.8,27073.18
2022/10/26,27431.84,27410.64,27578.05,27404.9
2022/10/27,27345.24,27407.23,27450.26,27330.79
2022/10/28,27105.2,27097.38,27265.46,26981.08
2022/10/31,27587.46,27404.3,27602.99,27392.99
2022/11/1,27678.92,27614.64,27682.97,27526.18
